"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"67 ( 30)","https://m.media-amazon.com/images/M/MV5BMTYxNTY5MTQ2Ml5BMl5BanBnXkFtZTgwNzA2MzEzNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","The Goldbergs","(2013)","8.2"
"68 ( 34)","https://m.media-amazon.com/images/M/MV5BMjI5Mjg1NDcyOV5BMl5BanBnXkFtZTgwMjAxOTQ5MTI@._V1_UY67_CR0,0,45,67_AL_.jpg","Iron Fist","(2017)","6.7"
"69 ( 35)","https://m.media-amazon.com/images/M/MV5BMGQzNGIzNmEtNWE3ZS00OTUyLTg3YTEtMDY3NDViZWE0YWY1XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","NCIS: Los Angeles","(2009)","6.7"
"70 ( 40)","https://m.media-amazon.com/images/M/MV5BZTQ2Mjg2M2MtNTExNi00MTgxLTk3MTYtOTI4ZDRmM2JkNWQ4XkEyXkFqcGdeQXVyNzIyMTA4MjA@._V1_UX45_CR0,0,45,67_AL_.jpg","American Vandal","(2017)","8.2"
"71 ( 3)","https://m.media-amazon.com/images/M/MV5BMTU1NDc3NzYxN15BMl5BanBnXkFtZTgwMTgyMjQyNjM@._V1_UX45_CR0,0,45,67_AL_.jpg","Outlander","(2014)","8.5"
"72 ( 1)","https://m.media-amazon.com/images/M/MV5BMzBlY2QzNzYtMWU1NS00NjFkLWJiMzItYmM3YTc4MDFjNDQwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX45_CR0,0,45,67_AL_.jpg","Money Heist","(2017)","8.7"
"73 ( 12)","https://m.media-amazon.com/images/M/MV5BM2Q2OTQyN2MtYWY1ZC00NzY0LWEzZDgtYmQyZWNlODE0NTAyXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","Hawaii Five-0","(2010)","7.4"
"74 ( 23)","https://m.media-amazon.com/images/M/MV5BMWFhNTcyMjEtYjcyYS00YzkwLWFmZWEtYmUzNmRiMjRmYzYwXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX45_CR0,0,45,67_AL_.jpg","Murphy Brown","(1988)","6.9"
"75 ( 50)","https://m.media-amazon.com/images/M/MV5BNzU1ZTIzMTUtMzE1Ny00YmM2LWIyMDctZWIzM2ViNDFlOGNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg","The Good Cop","(2018)","7.0"
"76 ( 12)","https://m.media-amazon.com/images/M/MV5BMjM2MTA5NjIwNV5BMl5BanBnXkFtZTgwNjI2OTMxNTM@._V1_UY67_CR0,0,45,67_AL_.jpg","Westworld","(2016)","8.9"
"77 ( 360)","https://m.media-amazon.com/images/M/MV5BOTgyOTIwODk3MV5BMl5BanBnXkFtZTgwNTE2MzEzNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Elite","(2018)","8.0"
"78 ( 13)","https://m.media-amazon.com/images/M/MV5BMjA3MTE5ODM3M15BMl5BanBnXkFtZTgwNTIyMjQ5NTM@._V1_UY67_CR0,0,45,67_AL_.jpg","Orange Is the New Black","(2013)","8.2"
"79 ( 139)","https://m.media-amazon.com/images/M/MV5BN2U1ZTViMTItMDUwZC00NTBkLTlmMGItZjE2NjdmZjMxYWZkXkEyXkFqcGdeQXVyMTI5NjYwNDQ@._V1_UY67_CR1,0,45,67_AL_.jpg","Norsemen","(2016)","7.8"
"80 ( 3)","https://m.media-amazon.com/images/M/MV5BMjA1NDkyNjE4NV5BMl5BanBnXkFtZTgwMDM5NDQwMDI@._V1_UX45_CR0,0,45,67_AL_.jpg","Bull","(2016)","6.9"
